session_key,driver_number,date,position,meeting_key
9472,1,2024-03-02 15:03:50.439000+00:00,1,1229
9472,2,2024-03-02 15:19:38.301000+00:00,20,1229
9472,3,2024-03-02 16:28:00.504000+00:00,13,1229
9472,4,2024-03-02 16:02:14.962000+00:00,6,1229
9472,10,2024-03-02 16:15:08.640000+00:00,18,1229
9472,11,2024-03-02 15:28:35.403000+00:00,2,1229
9472,14,2024-03-02 16:21:00.636000+00:00,9,1229
9472,16,2024-03-02 16:18:00.310000+00:00,4,1229
9472,18,2024-03-02 16:21:00.636000+00:00,10,1229
9472,20,2024-03-02 16:05:21.589000+00:00,12,1229
9472,22,2024-03-02 16:28:00.504000+00:00,14,1229
9472,23,2024-03-02 16:11:38.353000+00:00,15,1229
9472,24,2024-03-02 16:14:54.713000+00:00,11,1229
9472,27,2024-03-02 16:24:43.310000+00:00,16,1229
9472,31,2024-03-02 16:24:43.310000+00:00,17,1229
9472,44,2024-03-02 16:06:09.036000+00:00,7,1229
9472,55,2024-03-02 15:32:06.686000+00:00,3,1229
9472,63,2024-03-02 16:18:00.310000+00:00,5,1229
9472,77,2024-03-02 15:53:45.078000+00:00,19,1229
9472,81,2024-03-02 16:07:48.574000+00:00,8,1229
11234,1,2026-03-08 05:03:58.227000+00:00,5,1279
11234,3,2026-03-08 05:03:58.227000+00:00,6,1279
11234,5,2026-03-08 05:01:28.304000+00:00,9,1279
11234,6,2026-03-08 04:19:45.510000+00:00,20,1279
11234,10,2026-03-08 05:01:28.304000+00:00,10,1279
11234,11,2026-03-08 04:31:39.925000+00:00,16,1279
11234,12,2026-03-08 04:44:53.723000+00:00,2,1279
11234,14,2026-03-08 04:44:29.101000+00:00,18,1279
11234,16,2026-03-08 04:45:01.506000+00:00,3,1279
11234,18,2026-03-08 04:24:12.551000+00:00,17,1279
11234,23,2026-03-08 04:46:48.170000+00:00,12,1279
11234,27,2026-03-08 04:30:39.772000+00:00,22,1279
11234,30,2026-03-08 04:58:42.733000+00:00,13,1279
11234,31,2026-03-08 05:00:03.456000+00:00,11,1279
11234,41,2026-03-08 05:01:59.482000+00:00,8,1279
11234,43,2026-03-08 04:58:42.733000+00:00,14,1279
11234,44,2026-03-08 04:45:01.506000+00:00,4,1279
11234,55,2026-03-08 04:53:38.018000+00:00,15,1279
11234,63,2026-03-08 04:44:14.144000+00:00,1,1279
11234,77,2026-03-08 04:44:29.101000+00:00,19,1279
11234,81,2026-03-08 04:30:39.772000+00:00,21,1279
11234,87,2026-03-08 05:01:59.482000+00:00,7,1279
11245,1,2026-03-15 07:04:09.804000+00:00,20,1280
11245,3,2026-03-15 08:22:00.692000+00:00,16,1280
11245,5,2026-03-15 07:04:09.804000+00:00,21,1280
11245,6,2026-03-15 08:20:00.376000+00:00,8,1280
11245,10,2026-03-15 08:19:29.362000+00:00,6,1280
11245,11,2026-03-15 08:33:23.023000+00:00,15,1280
11245,12,2026-03-15 07:07:00.335000+00:00,1,1280
11245,14,2026-03-15 07:55:31.114000+00:00,17,1280
11245,16,2026-03-15 08:10:35.837000+00:00,4,1280
11245,18,2026-03-15 07:19:47.656000+00:00,18,1280
11245,23,2026-03-15 06:07:48.873000+00:00,22,1280
11245,27,2026-03-15 08:21:18.023000+00:00,11,1280
11245,30,2026-03-15 08:19:59.158000+00:00,7,1280
11245,31,2026-03-15 08:33:23.023000+00:00,14,1280
11245,41,2026-03-15 08:23:05.489000+00:00,12,1280
11245,43,2026-03-15 08:20:48.804000+00:00,10,1280
11245,44,2026-03-15 08:10:35.837000+00:00,3,1280
11245,55,2026-03-15 08:20:41.023000+00:00,9,1280
11245,63,2026-03-15 07:54:03.604000+00:00,2,1280
11245,77,2026-03-15 08:23:23.224000+00:00,13,1280
11245,81,2026-03-15 07:04:09.804000+00:00,19,1280
11245,87,2026-03-15 07:41:10.260000+00:00,5,1280
11253,1,2026-03-29 06:39:17.088000+00:00,5,1281
11253,3,2026-03-29 06:34:52.030000+00:00,8,1281
11253,5,2026-03-29 06:30:39.858000+00:00,13,1281
11253,6,2026-03-29 06:32:09.115000+00:00,12,1281
11253,10,2026-03-29 06:34:52.030000+00:00,7,1281
11253,11,2026-03-29 06:30:54.813000+00:00,17,1281
11253,12,2026-03-29 05:47:21.313000+00:00,1,1281
11253,14,2026-03-29 06:32:51.793000+00:00,18,1281
11253,16,2026-03-29 06:37:51.391000+00:00,3,1281
11253,18,2026-03-29 06:07:06.383000+00:00,21,1281
11253,23,2026-03-29 06:34:45.999000+00:00,20,1281
11253,27,2026-03-29 06:32:09.115000+00:00,11,1281
11253,30,2026-03-29 06:30:39.858000+00:00,9,1281
11253,31,2026-03-29 06:30:39.858000+00:00,10,1281
11253,41,2026-03-29 06:30:39.858000+00:00,14,1281
11253,43,2026-03-29 06:30:39.858000+00:00,16,1281
11253,44,2026-03-29 06:39:17.088000+00:00,6,1281
11253,55,2026-03-29 06:30:39.858000+00:00,15,1281
11253,63,2026-03-29 06:37:51.391000+00:00,4,1281
11253,77,2026-03-29 06:34:45.999000+00:00,19,1281
11253,81,2026-03-29 05:49:44.657000+00:00,2,1281
11253,87,2026-03-29 05:48:51.126000+00:00,22,1281
11280,1,2026-05-03 17:54:10.053000+00:00,2,1284
11280,3,2026-05-03 18:38:06.135000+00:00,5,1284
11280,5,2026-05-03 18:21:03.401000+00:00,12,1284
11280,6,2026-05-03 17:12:10.783000+00:00,22,1284
11280,10,2026-05-03 17:12:47.991000+00:00,21,1284
11280,11,2026-05-03 18:30:27.714000+00:00,16,1284
11280,12,2026-05-03 17:53:27.375000+00:00,1,1284
11280,14,2026-05-03 18:30:27.714000+00:00,15,1284
11280,16,2026-05-03 18:38:06.135000+00:00,6,1284
11280,18,2026-05-03 17:45:39.845000+00:00,17,1284
11280,23,2026-05-03 17:59:35.335000+00:00,10,1284
11280,27,2026-05-03 17:15:11.372000+00:00,19,1284
11280,30,2026-05-03 17:15:11.372000+00:00,20,1284
11280,31,2026-05-03 18:21:03.401000+00:00,13,1284
11280,41,2026-05-03 18:00:41.852000+00:00,14,1284
11280,43,2026-05-03 17:57:44.318000+00:00,8,1284
11280,44,2026-05-03 17:57:44.318000+00:00,7,1284
11280,55,2026-05-03 17:59:32.435000+00:00,9,1284
11280,63,2026-05-03 18:37:52.855000+00:00,4,1284
11280,77,2026-05-03 17:45:39.845000+00:00,18,1284
11280,81,2026-05-03 18:36:02.220000+00:00,3,1284
11280,87,2026-05-03 17:59:37.083000+00:00,11,1284
