position,driver_number,lap_duration,meeting_key,session_key
1,1,89.179,1229,9468
2,16,89.407,1229,9468
3,63,89.485,1229,9468
4,55,89.507,1229,9468
5,11,89.537,1229,9468
6,14,89.542,1229,9468
7,4,89.614,1229,9468
8,81,89.683,1229,9468
9,44,89.71,1229,9468
10,27,90.502,1229,9468
11,22,90.129,1229,9468
12,18,90.2,1229,9468
13,23,90.221,1229,9468
14,3,90.278,1229,9468
15,20,90.529,1229,9468
16,77,90.756,1229,9468
17,24,90.757,1229,9468
18,2,90.77,1229,9468
19,31,90.793,1229,9468
20,10,90.948,1229,9468
1,1,87.472,1230,9476
2,16,87.791,1230,9476
3,11,87.807,1230,9476
4,14,87.846,1230,9476
5,81,88.089,1230,9476
6,4,88.132,1230,9476
7,63,88.316,1230,9476
8,44,88.46,1230,9476
9,22,88.547,1230,9476
10,18,88.572,1230,9476
11,38,88.642,1230,9476
12,23,88.98,1230,9476
13,20,89.02,1230,9476
14,3,89.025,1230,9476
15,27,,1230,9476
16,77,89.179,1230,9476
17,31,89.475,1230,9476
18,10,89.479,1230,9476
19,2,89.526,1230,9476
20,24,,1230,9476
1,1,75.915,1231,9484
2,55,76.185,1231,9484
3,4,76.315,1231,9484
4,16,76.435,1231,9484
5,81,76.572,1231,9484
6,11,76.274,1231,9484
7,63,76.724,1231,9484
8,22,76.788,1231,9484
9,18,77.072,1231,9484
10,14,77.552,1231,9484
11,44,76.96,1231,9484
12,23,77.167,1231,9484
13,77,77.34,1231,9484
14,20,77.427,1231,9484
15,31,77.697,1231,9484
16,27,77.976,1231,9484
17,10,77.982,1231,9484
18,3,78.085,1231,9484
19,24,78.188,1231,9484
1,1,88.197,1232,9492
2,11,88.263,1232,9492
3,4,88.489,1232,9492
4,55,88.682,1232,9492
5,14,88.686,1232,9492
6,81,88.76,1232,9492
7,44,88.766,1232,9492
8,16,88.786,1232,9492
9,63,89.008,1232,9492
10,22,89.413,1232,9492
11,3,89.472,1232,9492
12,27,89.494,1232,9492
13,77,89.593,1232,9492
14,23,89.714,1232,9492
15,31,89.816,1232,9492
