compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start
SOFT,1,17.0,1.0,1229,9472,1,3
SOFT,3,13.0,1.0,1229,9472,1,3
SOFT,14,15.0,1.0,1229,9472,1,3
SOFT,10,12.0,1.0,1229,9472,1,0
SOFT,81,12.0,1.0,1229,9472,1,3
SOFT,18,9.0,1.0,1229,9472,1,0
SOFT,27,1.0,1.0,1229,9472,1,0
SOFT,22,14.0,1.0,1229,9472,1,0
SOFT,31,10.0,1.0,1229,9472,1,0
SOFT,4,13.0,1.0,1229,9472,1,3
SOFT,2,10.0,1.0,1229,9472,1,0
SOFT,77,12.0,1.0,1229,9472,1,0
SOFT,63,11.0,1.0,1229,9472,1,3
SOFT,23,15.0,1.0,1229,9472,1,0
SOFT,16,11.0,1.0,1229,9472,1,3
SOFT,44,12.0,1.0,1229,9472,1,3
SOFT,20,11.0,1.0,1229,9472,1,0
SOFT,11,12.0,1.0,1229,9472,1,3
SOFT,24,9.0,1.0,1229,9472,1,0
SOFT,55,14.0,1.0,1229,9472,1,3
HARD,27,20.0,2.0,1229,9472,2,0
HARD,24,28.0,10.0,1229,9472,2,0
HARD,18,27.0,10.0,1229,9472,2,0
HARD,31,30.0,11.0,1229,9472,2,0
HARD,2,28.0,11.0,1229,9472,2,0
HARD,63,31.0,12.0,1229,9472,2,0
HARD,16,34.0,12.0,1229,9472,2,0
HARD,20,32.0,12.0,1229,9472,2,0
HARD,11,36.0,13.0,1229,9472,2,0
HARD,81,34.0,13.0,1229,9472,2,0
HARD,44,33.0,13.0,1229,9472,2,0
HARD,77,30.0,13.0,1229,9472,2,0
HARD,10,31.0,13.0,1229,9472,2,0
HARD,4,33.0,14.0,1229,9472,2,0
HARD,3,35.0,14.0,1229,9472,2,0
HARD,55,35.0,15.0,1229,9472,2,0
HARD,22,34.0,15.0,1229,9472,2,0
HARD,14,41.0,16.0,1229,9472,2,0
HARD,23,36.0,16.0,1229,9472,2,0
HARD,1,37.0,18.0,1229,9472,2,0
HARD,27,41.0,21.0,1229,9472,3,0
HARD,18,57.0,28.0,1229,9472,3,0
HARD,24,56.0,29.0,1229,9472,3,0
HARD,2,40.0,29.0,1229,9472,3,0
HARD,31,56.0,31.0,1229,9472,3,0
HARD,63,57.0,32.0,1229,9472,3,0
HARD,77,56.0,31.0,1229,9472,3,0
HARD,10,43.0,32.0,1229,9472,3,0
HARD,20,56.0,33.0,1229,9472,3,0
HARD,4,57.0,34.0,1229,9472,3,0
HARD,44,57.0,34.0,1229,9472,3,0
HARD,16,57.0,35.0,1229,9472,3,0
HARD,81,57.0,35.0,1229,9472,3,0
HARD,22,56.0,35.0,1229,9472,3,0
HARD,55,57.0,36.0,1229,9472,3,0
SOFT,3,56.0,36.0,1229,9472,3,0
SOFT,11,57.0,37.0,1229,9472,3,0
HARD,23,56.0,37.0,1229,9472,3,0
SOFT,1,57.0,38.0,1229,9472,3,0
HARD,14,57.0,42.0,1229,9472,3,0
SOFT,2,55.0,41.0,1229,9472,4,0
SOFT,27,56.0,42.0,1229,9472,4,0
