category,date,driver_number,flag,lap_number,meeting_key,message,qualifying_phase,scope,sector,session_key
Other,2026-03-29 04:18:28+00:00,,,1,1281,FORMATION LAP WILL START AT 14:10,,,,11253
Flag,2026-03-29 04:24:02+00:00,,CLEAR,1,1281,CLEAR IN TRACK SECTOR 18,,Sector,18.0,11253
Flag,2026-03-29 04:24:04+00:00,,CLEAR,1,1281,CLEAR IN TRACK SECTOR 24,,Sector,24.0,11253
Flag,2026-03-29 04:24:06+00:00,,CLEAR,1,1281,CLEAR IN TRACK SECTOR 19,,Sector,19.0,11253
Flag,2026-03-29 04:30:01+00:00,,GREEN,1,1281,GREEN LIGHT - PIT EXIT OPEN,,Track,,11253
Other,2026-03-29 04:40:01+00:00,,,1,1281,PIT EXIT CLOSED,,,,11253
Other,2026-03-29 04:51:40+00:00,,,1,1281,RISK OF RAIN FOR THE F1 RACE IS 0%,,,,11253
Other,2026-03-29 05:07:05+00:00,,,1,1281,OVERTAKE DISABLED,,,,11253
SessionStatus,2026-03-29 05:14:02.078000+00:00,,,1,1281,SESSION STARTED,,,,11253
Flag,2026-03-29 05:14:02+00:00,,GREEN,1,1281,GREEN LIGHT - PIT EXIT OPEN,,Track,,11253
Other,2026-03-29 05:15:26+00:00,,,1,1281,OVERTAKE ENABLED,,,,11253
Other,2026-03-29 05:20:02+00:00,,,4,1281,CAR 18 (STR) LAP DELETED - TRACK LIMITS AT TURN 13 LAP 1 14:15:19,,,,11253
Other,2026-03-29 05:32:11+00:00,,,12,1281,CAR 87 (BEA) TIME 1:37.790 DELETED - TRACK LIMITS AT TURN 13 LAP 11 14:31:24,,,,11253
Flag,2026-03-29 05:37:09+00:00,41.0,BLACK AND WHITE,15,1281,BLACK AND WHITE FLAG FOR CAR 41 (LIN) - MOVING UNDER BRAKING,,Driver,,11253
Other,2026-03-29 05:47:01+00:00,,,21,1281,CAR 11 (PER) TIME 1:38.735 DELETED - TRACK LIMITS AT TURN 13 LAP 20 14:46:19,,,,11253
Flag,2026-03-29 05:47:54+00:00,,YELLOW,22,1281,YELLOW IN TRACK SECTOR 21,,Sector,21.0,11253
Flag,2026-03-29 05:47:59+00:00,,YELLOW,22,1281,YELLOW IN TRACK SECTOR 20,,Sector,20.0,11253
SafetyCar,2026-03-29 05:48:11+00:00,,,22,1281,SAFETY CAR DEPLOYED,,,,11253
Other,2026-03-29 05:48:23+00:00,,,22,1281,MEDICAL CAR DEPLOYED,,,,11253
Flag,2026-03-29 05:49:29+00:00,,DOUBLE YELLOW,23,1281,DOUBLE YELLOW IN TRACK SECTOR 21,,Sector,21.0,11253
Flag,2026-03-29 05:49:58+00:00,,DOUBLE YELLOW,23,1281,DOUBLE YELLOW IN TRACK SECTOR 20,,Sector,20.0,11253
Other,2026-03-29 05:50:15+00:00,,,23,1281,RECOVERY VEHICLE ON TRACK AT TURN 13,,,,11253
Other,2026-03-29 05:57:32+00:00,,,26,1281,LAPPED CARS MAY NOW OVERTAKE THE SAFETY CAR: 77,,,,11253
Flag,2026-03-29 05:57:48+00:00,,CLEAR,26,1281,CLEAR IN TRACK SECTOR 20,,Sector,20.0,11253
Flag,2026-03-29 05:57:50+00:00,,CLEAR,26,1281,CLEAR IN TRACK SECTOR 21,,Sector,21.0,11253
SafetyCar,2026-03-29 06:00:06+00:00,,,27,1281,SAFETY CAR IN THIS LAP,,,,11253
Flag,2026-03-29 06:01:24+00:00,,CLEAR,27,1281,TRACK CLEAR,,Track,,11253
Other,2026-03-29 06:02:11+00:00,,,28,1281,OVERTAKE ENABLED,,,,11253
Other,2026-03-29 06:06:00+00:00,,,30,1281,TURN 13 INCIDENT INVOLVING CARS 43 (COL) AND 87 (BEA) NOTED,,,,11253
Other,2026-03-29 06:06:40+00:00,,,31,1281,FIA STEWARDS: TURN 13 INCIDENT INVOLVING CARS 43 (COL) AND 87 (BEA) REVIEWED NO FURTHER INVESTIGATION,,,,11253
Other,2026-03-29 06:07:47+00:00,,,31,1281,CAR 41 (LIN) TIME 1:35.724 DELETED - TRACK LIMITS AT TURN 17 LAP 30 15:06:35,,,,11253
Other,2026-03-29 06:08:20+00:00,,,32,1281,CAR 43 (COL) TIME 1:43.165 DELETED - TRACK LIMITS AT TURN 13 LAP 21 14:47:52,,,,11253
Other,2026-03-29 06:29:27+00:00,,,45,1281,TURN 16 INCIDENT INVOLVING CAR 44 (HAM) NOTED - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,11253
Flag,2026-03-29 06:29:35+00:00,77.0,BLUE,45,1281,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:29:34,,Driver,,11253
Other,2026-03-29 06:30:23+00:00,,,46,1281,CAR 44 (HAM) TIME 1:33.636 DELETED - TRACK LIMITS AT TURN 17 LAP 44 15:28:16,,,,11253
Flag,2026-03-29 06:32:11+00:00,14.0,BLUE,47,1281,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:32:10,,Driver,,11253
Other,2026-03-29 06:32:59+00:00,,,48,1281,FIA STEWARDS: TURN 16 INCIDENT INVOLVING CAR 44 (HAM) REVIEWED NO FURTHER INVESTIGATION - LEAVING THE TRACK AND GAINING AN ADVANTAGE,,,,11253
Flag,2026-03-29 06:33:41+00:00,77.0,BLUE,48,1281,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:33:41,,Driver,,11253
Flag,2026-03-29 06:33:57+00:00,77.0,BLUE,48,1281,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:33:57,,Driver,,11253
Flag,2026-03-29 06:34:13+00:00,77.0,BLUE,48,1281,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:34:13,,Driver,,11253
Flag,2026-03-29 06:37:26+00:00,77.0,BLUE,51,1281,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 15:37:26,,Driver,,11253
Flag,2026-03-29 06:37:52+00:00,14.0,BLUE,51,1281,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:37:52,,Driver,,11253
Other,2026-03-29 06:38:35+00:00,,,51,1281,CAR 14 (ALO) TIME 1:37.112 DELETED - TRACK LIMITS AT TURN 17 LAP 49 15:37:30,,,,11253
Flag,2026-03-29 06:38:40+00:00,14.0,BLUE,51,1281,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:38:39,,Driver,,11253
Flag,2026-03-29 06:41:22+00:00,14.0,BLUE,53,1281,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:41:21,,Driver,,11253
Flag,2026-03-29 06:41:48+00:00,14.0,BLUE,53,1281,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 15:41:48,,Driver,,11253
Flag,2026-03-29 06:42:05+00:00,,CHEQUERED,53,1281,CHEQUERED FLAG,,Track,,11253
SessionStatus,2026-03-29 06:42:05.699000+00:00,,,53,1281,SESSION FINISHED,,,,11253
Other,2026-03-29 06:44:04+00:00,,,53,1281,ALL PASS HOLDERS MAY ACCESS THE PIT LANE,,,,11253
