driver_number,date,meeting_key,position,session_key
1,2024-03-02 14:03:47.739000+00:00,1229,1,9472
2,2024-03-02 14:03:47.739000+00:00,1229,18,9472
3,2024-03-02 14:03:47.739000+00:00,1229,14,9472
4,2024-03-02 14:03:47.739000+00:00,1229,7,9472
10,2024-03-02 14:03:47.739000+00:00,1229,20,9472
11,2024-03-02 14:03:47.739000+00:00,1229,5,9472
14,2024-03-02 14:03:47.739000+00:00,1229,6,9472
16,2024-03-02 14:03:47.739000+00:00,1229,2,9472
18,2024-03-02 14:03:47.739000+00:00,1229,12,9472
20,2024-03-02 14:03:47.739000+00:00,1229,15,9472
22,2024-03-02 14:03:47.739000+00:00,1229,11,9472
23,2024-03-02 14:03:47.739000+00:00,1229,13,9472
24,2024-03-02 14:03:47.739000+00:00,1229,17,9472
27,2024-03-02 14:03:47.739000+00:00,1229,10,9472
31,2024-03-02 14:03:47.739000+00:00,1229,19,9472
44,2024-03-02 14:03:47.739000+00:00,1229,9,9472
55,2024-03-02 14:03:47.739000+00:00,1229,4,9472
63,2024-03-02 14:03:47.739000+00:00,1229,3,9472
77,2024-03-02 14:03:47.739000+00:00,1229,16,9472
81,2024-03-02 14:03:47.739000+00:00,1229,8,9472
1,2024-03-09 16:04:20.976000+00:00,1230,1,9480
2,2024-03-09 16:04:20.976000+00:00,1230,19,9480
3,2024-03-09 16:04:20.976000+00:00,1230,14,9480
4,2024-03-09 16:04:20.976000+00:00,1230,6,9480
10,2024-03-09 16:04:20.976000+00:00,1230,18,9480
11,2024-03-09 16:04:20.976000+00:00,1230,3,9480
14,2024-03-09 16:04:20.976000+00:00,1230,4,9480
16,2024-03-09 16:04:20.976000+00:00,1230,2,9480
18,2024-03-09 16:04:20.976000+00:00,1230,10,9480
20,2024-03-09 16:04:20.976000+00:00,1230,13,9480
22,2024-03-09 16:04:20.976000+00:00,1230,9,9480
23,2024-03-09 16:04:20.976000+00:00,1230,12,9480
24,2024-03-09 16:04:20.976000+00:00,1230,20,9480
27,2024-03-09 16:04:20.976000+00:00,1230,15,9480
31,2024-03-09 16:04:20.976000+00:00,1230,17,9480
38,2024-03-09 16:04:20.976000+00:00,1230,11,9480
44,2024-03-09 16:04:20.976000+00:00,1230,8,9480
63,2024-03-09 16:04:20.976000+00:00,1230,7,9480
77,2024-03-09 16:04:20.976000+00:00,1230,16,9480
81,2024-03-09 16:04:20.976000+00:00,1230,5,9480
1,2024-03-24 03:04:47.397000+00:00,1231,1,9488
3,2024-03-24 03:04:47.397000+00:00,1231,18,9488
4,2024-03-24 03:04:47.397000+00:00,1231,3,9488
10,2024-03-24 03:04:47.397000+00:00,1231,17,9488
11,2024-03-24 03:04:47.397000+00:00,1231,6,9488
14,2024-03-24 03:04:47.397000+00:00,1231,10,9488
16,2024-03-24 03:04:47.397000+00:00,1231,4,9488
18,2024-03-24 03:04:47.397000+00:00,1231,9,9488
20,2024-03-24 03:04:47.397000+00:00,1231,14,9488
22,2024-03-24 03:04:47.397000+00:00,1231,8,9488
23,2024-03-24 03:04:47.397000+00:00,1231,12,9488
24,2024-03-24 03:04:47.397000+00:00,1231,19,9488
27,2024-03-24 03:04:47.397000+00:00,1231,16,9488
31,2024-03-24 03:04:47.397000+00:00,1231,15,9488
44,2024-03-24 03:04:47.397000+00:00,1231,11,9488
55,2024-03-24 03:04:47.397000+00:00,1231,2,9488
63,2024-03-24 03:04:47.397000+00:00,1231,7,9488
77,2024-03-24 03:04:47.397000+00:00,1231,13,9488
81,2024-03-24 03:04:47.397000+00:00,1231,5,9488
1,2024-04-07 04:01:03.668000+00:00,1232,1,9496
2,2024-04-07 04:01:03.668000+00:00,1232,19,9496
3,2024-04-07 04:01:03.668000+00:00,1232,11,9496
4,2024-04-07 04:01:03.668000+00:00,1232,3,9496
10,2024-04-07 04:01:03.668000+00:00,1232,17,9496
11,2024-04-07 04:01:03.668000+00:00,1232,2,9496
14,2024-04-07 04:01:03.668000+00:00,1232,5,9496
16,2024-04-07 04:01:03.668000+00:00,1232,8,9496
18,2024-04-07 04:01:03.668000+00:00,1232,16,9496
20,2024-04-07 04:01:03.668000+00:00,1232,18,9496
22,2024-04-07 04:01:03.668000+00:00,1232,10,9496
23,2024-04-07 04:01:03.668000+00:00,1232,14,9496
24,2024-04-07 04:01:03.668000+00:00,1232,20,9496
27,2024-04-07 04:01:03.668000+00:00,1232,12,9496
31,2024-04-07 04:01:03.668000+00:00,1232,15,9496
44,2024-04-07 04:01:03.668000+00:00,1232,7,9496
55,2024-04-07 04:01:03.668000+00:00,1232,4,9496
63,2024-04-07 04:01:03.668000+00:00,1232,9,9496
77,2024-04-07 04:01:03.668000+00:00,1232,13,9496
81,2024-04-07 04:01:03.668000+00:00,1232,6,9496
1,2024-04-20 02:18:33.816000+00:00,1233,4,9672
2,2024-04-20 02:18:33.816000+00:00,1233,20,9672
3,2024-04-20 02:18:33.816000+00:00,1233,14,9672
4,2024-04-20 02:18:33.816000+00:00,1233,1,9672
10,2024-04-20 02:18:33.816000+00:00,1233,16,9672
11,2024-04-20 02:18:33.816000+00:00,1233,6,9672
14,2024-04-20 02:18:33.816000+00:00,1233,3,9672
16,2024-04-20 02:18:33.816000+00:00,1233,7,9672
18,2024-04-20 02:18:33.816000+00:00,1233,15,9672
20,2024-04-20 02:18:33.816000+00:00,1233,12,9672
22,2024-04-20 02:18:33.816000+00:00,1233,19,9672
23,2024-04-20 02:18:33.816000+00:00,1233,18,9672
24,2024-04-20 02:18:33.816000+00:00,1233,10,9672
27,2024-04-20 02:18:33.816000+00:00,1233,13,9672
31,2024-04-20 02:18:33.816000+00:00,1233,17,9672
44,2024-04-20 02:18:33.816000+00:00,1233,2,9672
55,2024-04-20 02:18:33.816000+00:00,1233,5,9672
63,2024-04-20 02:18:33.816000+00:00,1233,11,9672
77,2024-04-20 02:18:33.816000+00:00,1233,9,9672
81,2024-04-20 02:18:33.816000+00:00,1233,8,9672
1,2024-04-21 06:08:21.209000+00:00,1233,1,9673
2,2024-04-21 06:08:21.209000+00:00,1233,20,9673
3,2024-04-21 06:08:21.209000+00:00,1233,12,9673
4,2024-04-21 06:08:21.209000+00:00,1233,4,9673
10,2024-04-21 06:08:21.209000+00:00,1233,15,9673
11,2024-04-21 06:08:21.209000+00:00,1233,2,9673
14,2024-04-21 06:08:21.209000+00:00,1233,3,9673
16,2024-04-21 06:08:21.209000+00:00,1233,6,9673
18,2024-04-21 06:08:21.209000+00:00,1233,11,9673
20,2024-04-21 06:08:21.209000+00:00,1233,17,9673
22,2024-04-21 06:08:21.209000+00:00,1233,19,9673
23,2024-04-21 06:08:21.209000+00:00,1233,14,9673
24,2024-04-21 06:08:21.209000+00:00,1233,16,9673
27,2024-04-21 06:08:21.209000+00:00,1233,9,9673
31,2024-04-21 06:08:21.209000+00:00,1233,13,9673
44,2024-04-21 06:08:21.209000+00:00,1233,18,9673
55,2024-04-21 06:08:21.209000+00:00,1233,7,9673
63,2024-04-21 06:08:21.209000+00:00,1233,8,9673
77,2024-04-21 06:08:21.209000+00:00,1233,10,9673
81,2024-04-21 06:08:21.209000+00:00,1233,5,9673
1,2024-05-04 15:20:02.064000+00:00,1234,1,9506
2,2024-05-04 15:20:02.064000+00:00,1234,18,9506
3,2024-05-04 15:20:02.064000+00:00,1234,4,9506
